cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;cd_natureza_juridica_osc;dt_fundacao_osc;situacao_cadastral;tx_endereco_completo;cd_municipio;municipio_nome;UF_Sigla;cnae;Area_Assistencia_social;Area_Associacoes_patronais_e_profissionais;Area_Cultura_e_recreacao;Area_Desenvolvimento_e_defesa_de_direitos_e_interesses;Area_Educacao_e_pesquisa;Area_Outras_atividades_associativas;Area_Religiao;Area_Saude;SubArea_Assistencia_social;SubArea_Associacoes_de_atividades_nao_especificadas_anteriormente;SubArea_Associacoes_de_produtores_rurais_pescadores_e_similares;SubArea_Associacoes_empresariais_e_patronais;SubArea_Associacoes_profissionais;SubArea_Atividades_de_apoio_a_educacao;SubArea_Cultura_e_arte;SubArea_Desenvolvimento_e_defesa_de_direitos;SubArea_Educacao_infantil;SubArea_Educacao_profissional;SubArea_Ensino_fundamental;SubArea_Ensino_superior;SubArea_Esportes_e_recreacao;SubArea_Estudos_e_pesquisas;SubArea_Hospitais;SubArea_Outras_formas_de_educacao_ensino;SubArea_Outros_servicos_de_saude;SubArea_Religiao
22072338000191;PROJETO RESGATANDO VIDAS;PROJETO RESGATANDO VIDAS;3999;2015-03-03;Ativa;RUA SANTA LUZIA29, BELA VISTA, Macaíba, RN, 59280000;2407104.0;MACAÍBA;RN;94995;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7608855000149;ASSOCIACAO DOS AGRICULTORES FAMILIARES DE SAO DOMINGOS;Não Informado;3999;2005-09-01;Inapta;SITIO SAO DOMINGOSS/N, ZONA RURAL, Jaçanã, RN, 59225000;2405009.0;JAÇANÃ;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
8070468001306;MITRA DIOCESANA DE CAICO;PAROQUIA SAO JOAO BATISTA;3220;1971-11-08;Ativa;PRACA SAO JOAOS N, NA, Cerro Corá, RN, 59395000;2402709.0;CERRO CORÁ;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4676126000131;ASSOCIACAO CANDIDO BATISTA CAVALCANTE;A. C. B. C;3999;2001-02-14;Ativa;RUA TOTA DE AZEVEDO20, CENTRO, Riachuelo, RN, 59470000;2410900.0;RIACHUELO;RN;94308;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
9642028000105;ASSOCIACAO FAMILIAR DO SITIO AROEIRAS;Não Informado;3999;2008-06-19;Ativa;SÍTIO AROEIRASSN, ZONA RURAL, Santa Cruz, RN, 59200000;2411205.0;SANTA CRUZ;RN;94995;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12338512000141;IGREJA PRESBITERIANA FILADELFIA;Não Informado;3220;2010-07-05;Ativa;RUA ACUCENA136, CIDADE VERDE, Parnamirim, RN, 59152030;2403251.0;PARNAMIRIM;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
8213332000166;ABRIGO DEUS E CARIDADE;Não Informado;3999;1968-09-16;Ativa;RUA BALTAZAR MARINHO529, NA, Macaíba, RN, 59280000;2407104.0;MACAÍBA;RN;87301;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41007840000163;IGREJA BATISTA REGULAR DE NEOPOLIS;Não Informado;3999;1992-05-19;Ativa;AVENIDA DOS IPES225, NEOPOLIS, Natal, RN, 59080200;2408102.0;NATAL;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
8546095000155;MOSSORO TENIS CLUBE;Não Informado;3999;1982-10-20;Ativa;AVENIDA DO CONTORNO KM 37S/N, CONJ ABOLICAO III, Mossoró, RN, 59633400;2408003.0;MOSSORÓ;RN;93123;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6949542000191;CENTRO DE RECUPERCAO ESPIRITUAL PARA DEPENDENTES DE DROGAS;CREDD;3999;2004-05-26;Ativa;RUA GETULIO VARGAS1495, CENTRO, Pau dos Ferros, RN, 59900000;2409407.0;PAU DOS FERROS;RN;87204;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8778876000175;ASSOCIACAO NACIONAL DE HISTORIA SECAO RIO GRANDE DO NORTE;ANPUH/RN;3999;2007-03-27;Ativa;SETOR DEP.PREDIO DE LAB. DE ARQUEOLOGIA DO DPTO HISTORIA U.FED.S/N, SALA B - CENTRO CONVIVENCIA, LAGOA NOVA, Natal, RN, 59062000;2408102.0;NATAL;RN;94120;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
832200000100;CONSELHO COMUNITARIO DE MURIU;Não Informado;3999;1995-09-29;Ativa;RUA RUA SAO FRANCISCO20, PRAIA DE MURIU, Ceará-Mirim, RN, 59570000;2402600.0;CEARÁ-MIRIM;RN;85112;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
14606530000192;ASSOCIACAO DOS AGRICULTORES FAMILIARES DO SITIO RECANTO-CACHOEIRA;AAFASIREC;3999;2011-10-24;Inapta;SITIO CACHOEIRAS/N, ZONA RURAL, Parelhas, RN, 59360000;2408904.0;PARELHAS;RN;94995;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8332785010093;IGREJA EVANGELICA ASSEMBLEIA DE DEUS NO RIO GRANDE DO NORTE;Não Informado;3220;1985-08-26;Ativa;AVENIDA SENADOR JOAO CAMARA301, CENTRO, Campo Redondo, RN, 59230000;2402105.0;CAMPO REDONDO;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
70140306000129;ASSOCIACAO DE DESENVOLVIMENTO COMUNIT DE CHA DA DIVISAO;ADCCD;3999;1995-07-31;Inapta;SETOR CHA DA DIVISAOS/N, ZONA RURAL, Cerro Corá, RN, 59395000;2402709.0;CERRO CORÁ;RN;87115;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29744778753535;IGREJA UNIVERSAL DO REINO DE DEUS;Não Informado;3220;2011-09-02;Ativa;PRACA LUIZ GONZAGA20, TERREO1 ANDAR, CENTRO, Pendências, RN, 59504000;2409902.0;PENDÊNCIAS;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
